pdf_name,year,region,project_type,nom_commune,dept,land_surface_ha,power_mwc,longitude,latitude
231016_apara1592_parcpv_cressin_rochefort_01_delibere.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Cressin-Rochefort,01,29.0,12.0,5.76546256637,45.7826434885
231010_apara1594_parcpv_avermes_03_delibere.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Avermes,03,11.8,13.8,3.3186329397,46.5983891991
231010_apara1591_centralephotovoltaique_commentry_03_delibere.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Commentry,03,59.8,14.7,2.74916734673,46.2787466852
231004_apara1584_parcpv_couteuges_43_deliberevf.pdf,2023,Auvergne-Rhône-Alpes,agrivoltaïque,Couteuges,43,22.0,10.0,3.49674774,45.1845653807
ap-1578_centrale_pv_sol_cnr_vertrieu_38_ok_a_publier.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Vertrieu,38,9.28,5.75,5.36496686983,45.8703431976
230725_parcpvsol_2e_avis_domerat_03_definitif.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,,,6.01,4.8,,
2023apara111_parc_pv_belley_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Belley,01,63.0,11.67,5.68412365526,45.7494697806
2023apara110_parcpv_villefranchedallier_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Villefranche-d’Allier,03,27.9,18.61,,
2023apara106_projet_agrivotaique_sol_serrieresdebriord_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Serrières-de-Briord,01,6.752,,5.44125880379,45.8133219416
2023apara103_pv_aveze_63.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Avèze,63,10.9,11.82,2.60615054719,45.5970951985
2023apara100_parc_pv_chateauneuf_du_rhone_26.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Châteauneuf-du-Rhône,26,33.0,35.0,4.72492988631,44.5034768004
2023-ap-1546-projetagrivotaiqueausol_freyssnet07vfinale.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Freyssenet,07,19.0,9.6,4.54695114844,44.6886194228
2023apara88_parcpvflottant_chateauneufsurisere_26.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Châteauneuf-sur-Isère,26,1000.0,13.48,4.95283719514,45.0093944288
2023apara87_parcpv-portedesavoie_saintehelenedulac-73.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Sainte-Hélène-du-Lac,73,803.0,5.3,6.05492059443,45.4796430592
2023apara87_parcpv-portedesavoie_saintehelenedulac-73.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Porte-de-Savoie,73,803.0,5.3,,
2023apara85_pv_sol_chapelaudevaux-03_2eme_avis.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,,,9.43,11.63,,
2023apara81_parc_pv-pont_dain_01.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Ain,01,12.6,500.0,,
2023apara80_pv_monteleger_26.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Montéléger,26,654.0,7.46,4.92784684928,44.8558469973
2023apara74_centralepv-porcieuamblagnieu_38.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Porcieu-Amblagnieu,38,2.1,500.0,5.3925679772,45.8376455099
2023apara71_projetagrivotaiqueausol_vallon-ensully03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Vallon-en-Sully,03,31.08,28.0,2.61674884517,46.5401383727
2023apara69_centralepv_cerilly_03.pdf,2023,Auvergne-Rhône-Alpes,photovoltaïque,Cérilly,03,18.4,4.72,2.80901857226,46.6265101815
2023apara68_parc_agrisolairelaforge_saint-voir_03.pdf,2023,Auvergne-Rhône-Alpes,agrivoltaïque,Saint-Voir,03,52.0,11.43,3.5060612523,46.410067
2023apara67_parcpv_lesmathiaux_saintvoir_03.pdf,2023,Auvergne-Rhône-Alpes,agrivoltaïque,Saint-Voir,03,137.0,9.8,3.5060612523,46.410067
