pdf_name,land_surface_ha,power_mwc
a_2022-4630_centrale_photovoltaique_sol_saint-marcel_delibere.pdf,7.13,
2024apo129.pdf,,
2020appaca3.pdf,327.0,11.6
avis_mrae_2021ao78.pdf,7.82,4.4
2024_apbfc_4329pvloulle_mont-sur-monnet_39_delibere.pdf,51.4905,900.0
a_2024-5215_installation-photovolt_conde-en-normandie_delegue.pdf,8.0,1.0
p_2020_10118_a_parc-photovoltaique_saugnacq-et-muret_40_mrae_signe.pdf,500.0,68.86
2023apge116.pdf,20.86,
mrae_avis_pv_renno_-_vdef.pdf,25.0,12.0
20200127_varennes_changy_pv_decision.pdf,16.0,
2024-09-18_saint-germain-laval_77_centrale_photovoltaique_avis_delibere-2.pdf,5.2,4.56
2020apge76.pdf,22.0,7.0
2022apcvl50.pdf,,
p_2020_10172_apna110_lue_40_mrae_signe.pdf,500.0,27.8
2022apcvl46.pdf,11.6,2.0
2020apge60.pdf,100.0,
p_2024_16811_parc_agrivoltaique_mareuil_en_perigord_24_signe.pdf,3500.0,1.0
2022apbfc36_pv_sol_flottant_gueugnon_rigny_arroux_71.pdf,61.0,32.0
2022apcvl52.pdf,33.6,2.0
2023apge114.pdf,15.0,
20250822-ap-1912-centralepv-espeluche-26vdeliberee-2.pdf,31.4,10.2
2024appaca44.pdf,425.0,1.0
p_2019_9270_a_solaire-bessines-sur-gartempes_87_signe.pdf,140.0,18.3
p_2023_15123_avis_ae_centrale_photovoltaique_ginestet_24signe.pdf,7.1,8.1
2019apge15.pdf,8.7,
240703_avis_pv_carisey_89.pdf,47.9,
2022apbfc44_pv_brognon_21.pdf,5.77,3.159
2023apge40.pdf,127.0,65.0
p_2023_13809_pv-valence-en-poitou_86_signe.pdf,2.9,3.24
2024apo117.pdf,18.0,8.5
p_2018_7418_saint-magne_a_jt_mrae_signe.pdf,38.0,29.0
2023apbfc44_pv_sainte_colombe_21.pdf,21.16,
2023apge68.pdf,12.23,1.0
2021apara146_parcpvurba255_balan_01.pdf,2000.0,3.93
p_2021_10611_avis_parcpv_au_temple-sur-lot_47_jt_mrae_v2_signe.pdf,6.1,3.97
p_2023_14167_fb_a_3eme_voie_centrale_agrovoltaique_8_77ha_puch_d_agenais_47_signe.pdf,12.98,8.62
mrae_avis_lucciana_ac_vdef.pdf,15.9,
2020appaca13.pdf,77.0,4.5
2023apara80_pv_monteleger_26.pdf,654.0,7.46
p_2023_14968_savignac_24_avis.pdf,90.0,12.187
p_2021_10782_avis_ae_delegation_centrale_durance_flottante33_signe.pdf,28.6,
p_2023_14017_3voie_pv_boe_47_signe-2.pdf,5.4,3.78
p_2021_10901_avis_ae_delegation_centrale_saint_jean_illac_33_signe-1.pdf,89.45,33.26
2021apge17.pdf,10.0,5.0
2023apo21.pdf,4.3,4.1
projetavis2023apgua6reluav-valide.pdf,8.97,8.5
p_2023_14422_collegiale_20230906_vpost_collegiale-1.pdf,3.67,1.97
2021apo72.pdf,7.9,6.0
2020apo66.pdf,27.0,15.0
2024apo5.pdf,4.5,3.4
2025apo50.pdf,29.8,9.99
2024apo44.pdf,34.0,20.0
p_2020_10065_avis_pv_jau-dignac-et-loirac_signe.pdf,5.7,
7943_let_info_tacite_centrale_pv_annois_cugny.pdf,,
p_2019_7577_avis_ae_delegation_centrale_moncrabeau_47_signe.pdf,15.5,10.34
2024apo50.pdf,9.6,6.5
p_2023_14044_centrale_pv_laroche_avis_signe-1.pdf,7.5,8.07
2025apo44.pdf,9.1,25.0
p_2021_10601_parc_photovoltaique_pouille_86_signe.pdf,30.0,
p_2023_n14880_avis_ae_pv_au_sol_escaudes_33_2023-12-14_10-20-29_3.pdf,1900.0,1.0
p_2021_10621_pv_montpon-menesterol_24__mrae_signe.pdf,10.7,
190402_apbfc12_parc_photovolt_tonnere-89_tacite.pdf,,
2025apo93.pdf,5.0,5.0
230918appvquincy_le_vicomtedelibere-1-2.pdf,16.53,11.66
2020apbfc33_parc_solaire_langeron_58-2.pdf,17.0,500.0
p_2023_14757_3eme_voie_agripv_meilhan-sur-garonne_avis_signe.pdf,86.27,5.0
2021appaca55.pdf,14.0,6.0
2024apo93.pdf,3.0,
2025apo87.pdf,7.2,7.9
2022apara5_projet_photovoltaique_saintvictor_03.pdf,12.63,7.46
2025apge47.pdf,139.7,
p_2024_16948_centrale_agrivoltaique_lupchat_89_29012024.pdf,493.0,33.13
2025apge53.pdf,3.6,2.0
2025apge46.pdf,30.6,
